nDisque jeu1_TTP jeu1Bal jeu2_TTP jeu2Bal jeu3_TTP jeu3Bal
767 1712 100 1776 279 5234 4632
768 1732 99 1785 280 5269 4707
769 1729 100 1794 285 5279 4661
770 1738 100 1800 282 5297 4712
771 1736 101 1803 281 5303 4715
772 1737 100 1804 282 5319 4683
773 1744 100 1804 282 5307 4742
774 1750 100 1806 282 5333 4739
775 1758 101 1808 283 5332 4728
776 1757 100 1816 282 5359 4734
777 1765 101 1821 284 5372 4751
778 1773 102 1832 285 5407 4771
779 1772 106 1840 288 5386 4793
780 1775 102 1837 286 5413 4812
781 1782 101 1843 290 5428 4827
782 1785 101 1838 291 5426 4810
783 1786 102 1848 288 5442 4842
784 1792 102 1853 291 5470 4864
785 1795 102 1861 287 5462 4874
786 1806 101 1864 288 5482 4866
787 1814 103 1871 291 5538 4918
788 1817 103 1877 289 5529 4893
789 1818 102 1876 292 5536 4930
790 1829 103 1886 290 5572 4933
791 1826 104 1883 292 5543 4933
792 1832 104 1899 294 5587 4948
793 1835 103 1898 290 5596 4921
794 1837 102 1897 292 5600 4973
795 1851 103 1915 293 5615 4967
796 1853 104 1914 295 5616 5013
797 1852 104 1911 292 5618 5016
798 1854 103 1919 300 5624 4990
799 1863 105 1933 295 5692 5038
800 1862 103 1925 293 5697 4985
801 1880 105 1937 302 5695 5053
802 1875 104 1939 294 5717 5045
803 1885 105 1949 298 5728 5107
804 1890 105 1958 300 5776 5066
805 1891 105 1952 297 5756 5073
806 1899 105 1966 301 5788 5124
807 1899 105 1966 301 5780 5111
808 1905 106 1965 298 5795 5113
809 1915 105 1976 300 5851 5116
810 1911 105 1977 303 5811 5176
811 1917 105 1985 300 5828 5178
812 1928 105 1990 302 5847 5173
813 1936 107 1994 300 5877 5174
814 1939 106 2000 301 5897 5212
815 1954 107 2008 307 5926 5220
816 1943 106 2005 307 5937 5191
817 1946 107 2009 305 5933 5222
818 1948 106 2010 303 5933 5216
819 1962 106 2023 304 5965 5287
820 1961 108 2024 303 5958 5255
821 1971 108 2034 304 5997 5289
822 1974 108 2037 307 6010 5302
823 1982 107 2040 309 6042 5264
824 1980 108 2047 307 6010 5356
825 1991 107 2047 307 6051 5289
826 1996 107 2059 307 6075 5370
827 2000 111 2060 308 6090 5348
828 2001 109 2065 309 6076 5373
829 2007 108 2065 308 6100 5362
830 2009 108 2067 310 6080 5373
831 2017 108 2083 311 6144 5402
832 2029 109 2089 313 6131 5418
833 2026 108 2088 309 6156 5455
834 2036 109 2101 314 6168 5441
835 2041 109 2107 312 6188 5475
836 2033 110 2101 311 6156 5447
837 2045 109 2109 313 6220 5455
838 2050 109 2119 314 6252 5467
839 2067 111 2130 315 6226 5568
840 2065 110 2129 314 6274 5501
841 2065 110 2130 317 6260 5534
842 2086 111 2170 322 6336 5579
843 2084 110 2148 317 6284 5602
844 2077 110 2141 319 6297 5555
845 2093 113 2155 318 6356 5563
846 2092 110 2155 317 6355 5613
847 2100 111 2161 318 6373 5585
848 2097 110 2161 320 6375 5657
849 2103 111 2171 319 6373 5631
850 2103 111 2172 319 6375 5658
851 2114 110 2178 319 6432 5648
852 2120 111 2190 321 6484 5681
853 2130 112 2193 321 6506 5676
854 2130 111 2198 321 6478 5693
855 2141 112 2205 325 6533 5748
856 2138 112 2204 326 6554 5706
857 2150 112 2211 323 6551 5786
858 2148 112 2221 325 6558 5747
859 2162 113 2222 327 6597 5808
860 2152 113 2216 323 6602 5787
861 2161 112 2223 327 6601 5842
862 2165 112 2236 325 6614 5845
863 2175 112 2238 329 6659 5861
864 2174 113 2241 325 6683 5862
865 2192 113 2256 325 6719 5920
866 2192 113 2257 326 6739 5935
