nDisque jeu1_TTP jeu1Bal jeu2_TTP jeu2Bal jeu3_TTP jeu3Bal
677 60 60 1595 1595 147489 147489
678 60 60 1606 1606 148198 148198
679 61 61 1604 1604 148367 148367
680 60 60 1603 1603 148977 148977
681 60 60 1615 1615 149479 149479
682 60 60 1617 1617 149886 149886
683 61 61 1610 1610 150151 150151
684 61 61 1618 1618 150535 150535
685 60 60 1617 1617 151149 151149
686 60 60 1618 1618 151567 151567
687 61 61 1625 1625 152017 152017
688 60 60 1624 1624 152606 152606
689 61 61 1628 1628 152923 152923
690 60 60 1628 1628 153319 153319
691 60 60 1627 1627 153800 153800
692 61 61 1627 1627 154193 154193
693 60 60 1633 1633 154741 154741
694 61 61 1641 1641 155064 155064
695 61 61 1639 1639 155604 155604
696 60 60 1648 1648 155909 155909
697 61 61 1644 1644 156364 156364
698 61 61 1651 1651 157179 157179
699 60 60 1648 1648 157072 157072
700 61 61 1655 1655 157651 157651
701 61 61 1652 1652 158244 158244
702 60 60 1663 1663 158749 158749
703 61 61 1664 1664 159112 159112
704 61 61 1666 1666 159536 159536
705 61 61 1662 1662 160092 160092
706 61 61 1673 1673 160443 160443
707 61 61 1680 1680 160882 160882
708 61 61 1676 1676 161330 161330
709 61 61 1669 1669 161882 161882
710 61 61 1675 1675 162190 162190
711 61 61 1683 1683 162704 162704
712 61 61 1685 1685 162973 162973
713 62 62 1685 1685 163519 163519
714 61 61 1689 1689 164098 164098
715 60 60 1691 1691 164559 164559
716 61 61 1691 1691 165081 165081
717 61 61 1699 1699 165638 165638
718 61 61 1701 1701 165935 165935
719 61 61 1709 1709 166657 166657
720 61 61 1704 1704 166929 166929
721 61 61 1708 1708 167452 167452
722 61 61 1713 1713 167828 167828
723 61 61 1707 1707 168240 168240
724 61 61 1708 1708 168907 168907
725 61 61 1714 1714 169323 169323
726 61 61 1722 1722 169625 169625
727 61 61 1719 1719 170418 170418
728 61 61 1720 1720 170508 170508
729 62 62 1726 1726 170901 170901
730 62 62 1732 1732 171608 171608
731 61 61 1728 1728 172092 172092
732 61 61 1733 1733 172596 172596
733 61 61 1732 1732 173111 173111
734 62 62 1742 1742 173521 173521
735 62 62 1743 1743 173918 173918
736 61 61 1733 1733 174481 174481
737 61 61 1745 1745 175087 175087
738 62 62 1748 1748 175374 175374
739 61 61 1755 1755 176139 176139
740 62 62 1757 1757 176231 176231
741 61 61 1749 1749 176761 176761
742 61 61 1759 1759 177319 177319
743 62 62 1757 1757 177938 177938
744 62 62 1768 1768 178511 178511
745 62 62 1761 1761 178745 178745
746 62 62 1773 1773 179340 179340
747 61 61 1766 1766 179413 179413
748 62 62 1774 1774 180273 180273
749 61 61 1777 1777 180776 180776
750 61 61 1776 1776 180957 180957
751 62 62 1787 1787 181421 181421
752 62 62 1790 1790 182355 182355
753 62 62 1785 1785 182752 182752
754 62 62 1792 1792 183252 183252
755 62 62 1789 1789 183514 183514
756 62 62 1795 1795 183925 183925
757 62 62 1795 1795 184581 184581
758 61 61 1796 1796 184995 184995
759 62 62 1796 1796 185565 185565
760 62 62 1805 1805 186057 186057
761 62 62 1809 1809 186380 186380
762 62 62 1808 1808 186849 186849
763 62 62 1806 1806 187486 187486
764 62 62 1811 1811 188123 188123
765 62 62 1816 1816 188654 188654
766 62 62 1819 1819 188870 188870
767 62 62 1825 1825 189542 189542
768 62 62 1823 1823 189983 189983
769 62 62 1828 1828 190381 190381
770 62 62 1827 1827 191161 191161
771 62 62 1826 1826 191505 191505
772 62 62 1835 1835 191817 191817
773 62 62 1833 1833 192477 192477
774 62 62 1841 1841 193150 193150
775 62 62 1847 1847 193616 193616
776 62 62 1847 1847 193850 193850
777 63 63 1844 1844 194487 194487
778 62 62 1845 1845 194936 194936
779 62 62 1857 1857 195602 195602
780 62 62 1858 1858 196142 196142
781 62 62 1854 1854 196330 196330
782 62 62 1858 1858 197032 197032
783 62 62 1856 1856 197381 197381
784 62 62 1861 1861 198004 198004
785 62 62 1862 1862 198312 198312
786 62 62 1870 1870 198861 198861
787 62 62 1868 1868 199384 199384
788 62 62 1869 1869 199861 199861
789 62 62 1879 1879 200456 200456
790 62 62 1879 1879 201134 201134
791 62 62 1883 1883 201671 201671
792 62 62 1876 1876 201921 201921
793 62 62 1880 1880 202502 202502
794 62 62 1887 1887 203153 203153
795 62 62 1892 1892 203595 203595
796 62 62 1894 1894 204299 204299
797 63 63 1899 1899 204633 204633
798 62 62 1902 1902 205331 205331
799 62 62 1897 1897 205634 205634
800 62 62 1901 1901 206051 206051
801 62 62 1906 1906 206670 206670
802 63 63 1909 1909 207157 207157
803 63 63 1913 1913 207783 207783
804 62 62 1920 1920 208071 208071
805 63 63 1915 1915 208718 208718
806 63 63 1916 1916 209205 209205
807 62 62 1914 1914 209860 209860
808 63 63 1925 1925 210064 210064
809 63 63 1916 1916 210723 210723
810 63 63 1922 1922 211356 211356
811 62 62 1929 1929 211709 211709
812 63 63 1933 1933 212502 212502
813 63 63 1927 1927 212822 212822
814 62 62 1935 1935 213321 213321
815 63 63 1942 1942 213849 213849
816 63 63 1940 1940 214457 214457
817 63 63 1943 1943 214924 214924
818 63 63 1950 1950 215558 215558
